ID Number,Date,Activity,Start Time,End Time,Sleep Location,Break Location
0636,1/14/2010,P,4:55,5:30,,
0636,1/14/2010,C,5:30,5:54,,
0636,1/14/2010,W,5:54,12:50,,
0636,1/14/2010,I,12:50,16:50,,Off train
0636,1/14/2010,W,16:50,19:10,,
0636,1/14/2010,C,19:10,19:35,,
0636,1/14/2010,P,19:35,22:30,,
0636,1/14/2010,S,22:30,4:55,H,
0636,1/15/2010,P,4:55,5:30,,
0636,1/15/2010,C,5:30,5:54,,
0636,1/15/2010,W,5:54,12:50,,
0636,1/15/2010,I,12:50,16:50,,Off train
0636,1/15/2010,W,16:50,19:10,,
0636,1/15/2010,C,19:10,19:35,,
0636,1/15/2010,P,19:35,22:30,,
0636,1/15/2010,S,22:30,8:00,H,
0636,1/16/2010,P,8:00,23:00,,
0636,1/16/2010,S,23:00,8:00,H,
0636,1/17/2010,P,8:00,23:00,,
0636,1/17/2010,S,23:00,4:55,H,
0636,1/18/2010,P,4:55,5:30,,
0636,1/18/2010,C,5:30,5:54,,
0636,1/18/2010,W,5:54,12:50,,
0636,1/18/2010,I,12:50,16:50,,Off train
0636,1/18/2010,W,16:50,19:10,,
0636,1/18/2010,C,19:10,19:35,,
0636,1/18/2010,P,19:35,22:30,,
0636,1/18/2010,S,22:30,4:55,H,
0636,1/19/2010,P,4:55,5:30,,
0636,1/19/2010,C,5:30,5:54,,
0636,1/19/2010,W,5:54,12:50,,
0636,1/19/2010,I,12:50,16:50,,Off train
0636,1/19/2010,W,16:50,19:10,,
0636,1/19/2010,C,19:10,19:35,,
0636,1/19/2010,P,19:35,22:30,,
0636,1/19/2010,S,22:30,4:55,H,
0636,1/20/2010,P,4:55,5:30,,
0636,1/20/2010,C,5:30,5:54,,
0636,1/20/2010,W,5:54,12:50,,
0636,1/20/2010,I,12:50,16:50,,Off train
0636,1/20/2010,W,16:50,19:10,,
0636,1/20/2010,C,19:10,19:40,,
0636,1/20/2010,P,19:40,22:30,,
0636,1/20/2010,S,22:30,4:55,H,
0636,1/21/2010,P,4:55,5:30,,
0636,1/21/2010,C,5:30,5:54,,
0636,1/21/2010,W,5:54,12:50,,
0636,1/21/2010,I,12:50,16:50,,Off train
0636,1/21/2010,W,16:50,19:10,,
0636,1/21/2010,C,19:10,19:40,,
0636,1/21/2010,P,19:40,22:30,,
0636,1/21/2010,S,22:30,4:55,H,
0636,1/22/2010,P,4:55,5:30,,
0636,1/22/2010,C,5:30,5:54,,
0636,1/22/2010,W,5:54,12:50,,
0636,1/22/2010,I,12:50,16:50,,Off train
0636,1/22/2010,W,16:50,19:10,,
0636,1/22/2010,C,19:10,19:35,,
0636,1/22/2010,P,19:35,22:15,,
0636,1/22/2010,S,22:15,9:00,H,
0636,1/23/2010,P,9:00,23:15,,
0636,1/23/2010,S,23:15,9:00,H,
0638,1/3/2010,W,0:00,2:30,,
0638,1/3/2010,I,2:30,7:30,,Off train
0638,1/3/2010,S,3:00,7:00,A,
0638,1/3/2010,W,7:30,8:00,,
0638,1/3/2010,C,8:00,9:00,,
0638,1/3/2010,P,9:00,13:00,,
0638,1/3/2010,S,13:00,15:00,H,
0638,1/3/2010,P,15:00,19:30,,
0638,1/3/2010,C,19:30,20:30,,
0638,1/3/2010,W,20:30,2:00,,
0638,1/5/2010,I,2:30,7:30,,Off train
0638,1/5/2010,S,3:00,7:00,A,
0638,1/5/2010,C,7:00,8:00,,
0638,1/5/2010,P,8:00,11:00,,
0638,1/5/2010,S,11:00,14:00,H,
0638,1/5/2010,P,14:00,19:30,,
0638,1/5/2010,C,19:30,20:30,,
0638,1/5/2010,W,20:30,2:30,,
0638,1/6/2010,I,2:30,7:30,,Off train
0638,1/6/2010,S,2:30,7:00,A,
0638,1/6/2010,C,7:00,8:00,,
0638,1/6/2010,P,8:00,12:00,,
0638,1/6/2010,S,12:00,14:30,H,
0638,1/6/2010,P,14:30,19:30,,
0638,1/6/2010,C,19:30,20:30,,
0638,1/6/2010,W,20:30,2:00,,
0638,1/7/2010,I,2:00,7:30,,Off train
0638,1/7/2010,S,3:00,7:30,A,
0638,1/7/2010,C,7:30,8:30,,
0638,1/7/2010,P,8:30,11:00,,
0638,1/7/2010,S,11:00,14:00,H,
0638,1/7/2010,P,14:00,1:00,,
0638,1/8/2010,S,1:00,7:00,H,
0638,1/8/2010,P,7:00,14:00,,
0638,1/8/2010,S,14:00,15:30,H,
0638,1/8/2010,P,15:30,0:00,,
0638,1/9/2010,S,0:00,8:30,H,
0638,1/9/2010,P,8:30,13:00,,
0638,1/9/2010,S,13:00,14:00,H,
0638,1/9/2010,P,14:00,19:30,,
0638,1/9/2010,C,19:30,20:30,,
0638,1/9/2010,W,20:30,3:00,,
0638,1/10/2010,B,3:00,7:30,,Off train
0638,1/10/2010,S,3:00,7:00,A,
0638,1/10/2010,C,7:30,8:30,,
0638,1/10/2010,P,8:30,12:00,,
0638,1/10/2010,S,12:00,15:00,H,
0638,1/10/2010,P,15:00,19:30,,
0638,1/10/2010,C,19:30,20:30,,
0638,1/10/2010,W,20:30,2:00,,
0638,1/11/2010,B,2:00,7:30,,Off train
0638,1/11/2010,S,2:30,7:00,A,
0638,1/11/2010,C,7:30,8:15,,
0638,1/11/2010,P,8:15,9:30,,
0638,1/11/2010,S,9:30,12:00,H,
0638,1/11/2010,P,12:00,19:30,,
0638,1/11/2010,C,19:30,20:30,,
0638,1/11/2010,W,20:30,3:00,,
0638,1/12/2010,B,3:00,7:30,,Off train
0638,1/12/2010,S,3:30,7:30,A,
0638,1/12/2010,C,7:30,8:15,,
0638,1/12/2010,P,8:15,11:00,,
0638,1/12/2010,S,11:00,14:00,H,
0638,1/12/2010,P,14:00,19:30,,
0638,1/12/2010,C,19:30,20:30,,
0638,1/12/2010,W,20:30,2:30,,
0638,1/13/2010,B,2:30,7:30,,Off train
0638,1/13/2010,S,3:00,7:30,A,
0638,1/13/2010,C,7:30,8:30,,
0638,1/13/2010,P,8:30,12:00,,
0638,1/13/2010,S,12:00,14:30,H,
0638,1/13/2010,P,14:30,19:45,,
0638,1/13/2010,C,19:45,20:30,,
0638,1/13/2010,W,20:30,2:30,,
0638,1/14/2010,B,2:30,7:30,,Off train
0638,1/14/2010,S,2:30,7:00,A,
0638,1/14/2010,C,7:30,8:30,,
0638,1/14/2010,P,8:30,10:00,,
0638,1/14/2010,S,10:00,12:00,H,
0638,1/14/2010,P,12:00,0:00,,
0638,1/15/2010,S,0:00,7:00,H,
0638,1/15/2010,P,7:00,23:30,,
0638,1/15/2010,S,23:30,8:00,H,
0638,1/16/2010,P,8:00,19:30,,
0638,1/16/2010,C,19:30,20:30,,
0638,1/16/2010,W,20:30,0:00,,
0651,1/2/2010,S,0:00,7:15,H,
0651,1/2/2010,P,7:15,8:15,,
0651,1/2/2010,C,8:15,8:44,,
0651,1/2/2010,W,8:44,12:20,,
0651,1/2/2010,B,12:20,13:00,,Off train
0651,1/2/2010,W,13:00,17:31,,
0651,1/2/2010,C,17:31,17:45,,
0651,1/2/2010,P,17:45,23:00,,
0651,1/2/2010,S,23:00,9:00,H,
0651,1/3/2010,P,9:00,13:30,,
0651,1/3/2010,C,13:30,15:14,,
0651,1/3/2010,W,15:14,18:00,,
0651,1/3/2010,B,18:00,19:00,,Off train
0651,1/3/2010,W,19:00,22:59,,
0651,1/3/2010,C,22:59,1:15,,
0651,1/4/2010,P,1:15,2:00,,
0651,1/4/2010,S,2:00,10:30,H,
0651,1/4/2010,P,10:30,13:30,,
0651,1/4/2010,C,13:30,15:01,,
0651,1/4/2010,W,15:01,23:37,,
0651,1/4/2010,C,23:37,1:15,,
0651,1/5/2010,P,1:15,3:00,,
0651,1/5/2010,S,3:00,10:30,H,
0651,1/5/2010,P,10:30,15:00,,
0651,1/5/2010,S,15:00,16:30,H,
0651,1/5/2010,P,16:30,0:00,,
0651,1/6/2010,S,0:00,9:00,H,
0651,1/6/2010,P,9:00,13:00,,
0651,1/6/2010,C,13:00,13:56,,
0651,1/6/2010,W,13:56,22:40,,
0651,1/6/2010,C,22:40,23:30,,
0651,1/6/2010,P,23:30,2:00,,
0651,1/7/2010,S,2:00,10:00,H,
0651,1/7/2010,P,10:00,14:30,,
